"date","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_new","hospitalized_accumulated","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2021-02-08,4440,3903,94883,18303,22462,10733,106558,4124,78873,3003327,1668062,5455,362520,146264,149005,58888,16162,20894.9,8943,8412.6,556,0.7,428,489.1,3424
2021-02-09,7315,2621,95378,23559,21281,10793,107018,4082,79362,3019708,1672627,5522,341382,134991,137008,51715,16381,19284.4,4565,7387.9,489,0.6,452,477.7,3344
2021-02-10,5789,2542,95920,22502,20234,10792,107370,4003,79845,3035227,1679663,5563,319806,125264,127599,47304,15519,17894.9,7036,6757.7,483,0.6,509.3,476.1,3333
2021-02-11,5613,2346,96322,21588,19166,10811,107682,3916,80343,3050252,1686126,5610,302369,115980,117751,44561,15025,16568.6,6463,6365.9,498,0.6,490,475.1,3326
2021-02-12,4314,2076,96623,15725,17931,17516,114811,3833,80793,3063499,1692372,5647,280577,103459,108918,39346,13247,14779.9,6246,5620.9,450,0.6,477,457.7,3204
2021-02-13,4318,935,96670,15505,17296,10764,105249,3556,81167,3073263,1694923,5662,264337,95650,105058,38167,9764,13664.3,2551,5452.4,374,0.5,440.7,451.6,3161
2021-02-14,2516,723,96701,15027,17395,10696,105411,3544,81371,3079448,1696629,5709,251753,92283,102690,37510,6185,13183.3,1706,5358.6,204,0.3,342.7,436.3,3054
2021-02-15,2036,2353,97110,13897,16846,10828,108849,3688,81813,3088617,1702516,5788,231554,85290,93342,34454,9169,12184.3,5887,4922,442,0.5,340,420,2940
2021-02-16,3886,1804,97540,17545,15683,10859,109137,3560,82234,3098631,1707997,5856,213914,78923,87085,35370,10014,11274.7,5481,5052.9,421,0.5,355.7,410.3,2872
2021-02-17,3369,1865,97931,12296,14687,10835,109379,3460,82585,3108490,1713054,5931,198527,73263,80695,33391,9859,10466.1,5057,4770.1,351,0.4,404.7,391.4,2740
2021-02-18,4788,1785,98209,15405,13782,10881,109650,3377,82960,3119677,1717946,5962,185405,69425,76381,31820,11187,9917.9,4892,4545.7,375,0.5,382.3,373.9,2617
2021-02-19,3417,1572,98744,11140,12805,10880,109883,3262,83236,3129863,1722590,5993,169823,66364,69564,30218,10186,9480.6,4644,4316.9,276,0.3,334,349,2443
2021-02-20,2587,896,98790,11054,12303,10848,106876,3028,83474,3136003,1724600,5996,158390,62740,67844,29677,6140,8962.9,2010,4239.6,238,0.3,296.3,329.6,2307
