,Comunidad,Fecha,Fallecidos
628,Aragon,2020-05-19,843
629,Asturias,2020-05-19,303
630,Baleares,2020-05-19,219
631,Canarias,2020-05-19,155
632,Cantabria,2020-05-19,208
633,Castilla La Mancha,2020-05-19,2900
634,Castilla y Leon,2020-05-19,1960
635,Cataluña,2020-05-19,5981
636,Ceuta,2020-05-19,4
637,C.Valenciana,2020-05-19,1370
638,Extremadura,2020-05-19,504
639,Galicia,2020-05-19,607
640,Madrid,2020-05-19,8894
641,Melilla,2020-05-19,2
642,Murcia,2020-05-19,145
643,Navarra,2020-05-19,503
644,Pais Vasco,2020-05-19,1470
645,La Rioja,2020-05-19,352
646,Andalucia,2020-05-20,1371
647,Aragon,2020-05-20,843
648,Asturias,2020-05-20,304
649,Baleares,2020-05-20,221
650,Canarias,2020-05-20,155
651,Cantabria,2020-05-20,209
652,Castilla La Mancha,2020-05-20,2913
653,Castilla y Leon,2020-05-20,1960
654,Cataluña,2020-05-20,6021
655,Ceuta,2020-05-20,4
656,C.Valenciana,2020-05-20,1378
657,Extremadura,2020-05-20,504
658,Galicia,2020-05-20,607
659,Madrid,2020-05-20,8912
660,Melilla,2020-05-20,2
661,Murcia,2020-05-20,148
662,Navarra,2020-05-20,503
663,Pais Vasco,2020-05-20,1480
664,La Rioja,2020-05-20,353
665,Andalucia,2020-05-21,1375
666,Aragon,2020-05-21,848
667,Asturias,2020-05-21,307
668,Baleares,2020-05-21,221
669,Canarias,2020-05-21,155
670,Cantabria,2020-05-21,209
671,Castilla La Mancha,2020-05-21,2919
672,Castilla y Leon,2020-05-21,1960
673,Cataluña,2020-05-21,6021
674,Ceuta,2020-05-21,4
675,C.Valenciana,2020-05-21,1383
676,Extremadura,2020-05-21,505
677,Galicia,2020-05-21,608
678,Madrid,2020-05-21,8931
679,Melilla,2020-05-21,2
680,Murcia,2020-05-21,149
681,Navarra,2020-05-21,506
682,Pais Vasco,2020-05-21,1483
683,La Rioja,2020-05-21,354
684,Andalucia,2020-05-22,1377
