Fecha report,provincia,Hospitalizados,UCI
17/07/2020,Córdoba,4,2
17/07/2020,Granada,10,2
17/07/2020,Huelva,1,0
17/07/2020,Jaén,2,0
17/07/2020,Málaga,8,0
17/07/2020,Sevilla,2,1
18/07/2020,Almería,7,2
18/07/2020,Cádiz,4,0
18/07/2020,Córdoba,4,2
18/07/2020,Granada,9,1
18/07/2020,Huelva,1,0
18/07/2020,Jaén,2,0
18/07/2020,Málaga,9,0
18/07/2020,Sevilla,2,1
19/07/2020,Almería,10,2
19/07/2020,Cádiz,3,0
19/07/2020,Córdoba,4,2
19/07/2020,Granada,12,1
19/07/2020,Huelva,1,0
19/07/2020,Jaén,2,0
19/07/2020,Málaga,10,0
19/07/2020,Sevilla,3,1
20/07/2020,Almería,9,1
20/07/2020,Cádiz,3,0
20/07/2020,Córdoba,4,2
20/07/2020,Granada,12,1
20/07/2020,Huelva,2,0
20/07/2020,Jaén,2,0
20/07/2020,Málaga,9,0
20/07/2020,Sevilla,4,1
21/07/2020,Almería,11,2
21/07/2020,Cádiz,4,0
21/07/2020,Córdoba,4,2
21/07/2020,Granada,13,0
21/07/2020,Huelva,2,0
21/07/2020,Jaén,2,0
21/07/2020,Málaga,9,0
21/07/2020,Sevilla,4,1
22/07/2020,Almería,12,2
22/07/2020,Cádiz,3,0
22/07/2020,Córdoba,5,2
22/07/2020,Granada,12,0
22/07/2020,Huelva,1,0
22/07/2020,Jaén,2,0
22/07/2020,Málaga,8,0
22/07/2020,Sevilla,4,1
23/07/2020,Almería,12,2
23/07/2020,Cádiz,4,0
23/07/2020,Córdoba,5,2
23/07/2020,Granada,11,0
23/07/2020,Huelva,1,0
23/07/2020,Jaén,2,0
23/07/2020,Málaga,6,0
23/07/2020,Sevilla,3,1
24/07/2020,Almería,14,2
24/07/2020,Cádiz,4,0
24/07/2020,Córdoba,6,2
24/07/2020,Granada,9,0
24/07/2020,Huelva,1,0
24/07/2020,Jaén,2,0
24/07/2020,Málaga,6,0
24/07/2020,Sevilla,3,1
25/07/2020,Almería,16,2
25/07/2020,Cádiz,4,0
25/07/2020,Córdoba,6,1
25/07/2020,Granada,9,0
25/07/2020,Huelva,0,0
25/07/2020,Jaén,1,0
25/07/2020,Málaga,7,0
25/07/2020,Sevilla,3,1
26/07/2020,Almería,17,2
26/07/2020,Cádiz,4,0
26/07/2020,Córdoba,8,2
26/07/2020,Granada,10,0
26/07/2020,Huelva,0,0
26/07/2020,Jaén,1,0
26/07/2020,Málaga,6,0
26/07/2020,Sevilla,3,1
27/07/2020,Almería,20,3
27/07/2020,Cádiz,5,0
27/07/2020,Córdoba,8,2
27/07/2020,Granada,11,0
27/07/2020,Huelva,0,0
27/07/2020,Jaén,1,0
27/07/2020,Málaga,8,0
27/07/2020,Sevilla,3,2
28/07/2020,Almería,18,3
28/07/2020,Cádiz,4,0
28/07/2020,Córdoba,8,2
28/07/2020,Granada,9,0
28/07/2020,Huelva,0,0
28/07/2020,Jaén,1,0
28/07/2020,Málaga,9,0
28/07/2020,Sevilla,3,2
29/07/2020,Almería,17,4
29/07/2020,Cádiz,4,0
29/07/2020,Córdoba,8,2
29/07/2020,Granada,8,0
29/07/2020,Huelva,1,0
29/07/2020,Jaén,2,1
29/07/2020,Málaga,8,0
29/07/2020,Sevilla,3,2
30/07/2020,Almería,19,4
30/07/2020,Cádiz,4,0
30/07/2020,Córdoba,8,2
30/07/2020,Granada,11,0
30/07/2020,Huelva,2,0
30/07/2020,Jaén,2,1
30/07/2020,Málaga,9,0
30/07/2020,Sevilla,3,1
31/07/2020,Almería,20,4
31/07/2020,Cádiz,3,0
31/07/2020,Córdoba,8,2
31/07/2020,Granada,12,0
31/07/2020,Huelva,2,0
31/07/2020,Jaén,2,1
31/07/2020,Málaga,10,1
31/07/2020,Sevilla,3,1
01/08/2020,Almería,22,4
01/08/2020,Cádiz,3,0
01/08/2020,Córdoba,10,2
01/08/2020,Granada,10,0
01/08/2020,Huelva,2,0
01/08/2020,Jaén,0,0
01/08/2020,Málaga,10,1
01/08/2020,Sevilla,3,1
02/08/2020,Almería,28,4
02/08/2020,Cádiz,6,1
02/08/2020,Córdoba,10,2
02/08/2020,Granada,12,1
02/08/2020,Huelva,2,0
02/08/2020,Jaén,0,0
02/08/2020,Málaga,11,1
02/08/2020,Sevilla,3,1
03/08/2020,Almería,32,5
03/08/2020,Cádiz,7,1
03/08/2020,Córdoba,10,1
03/08/2020,Granada,12,1
03/08/2020,Huelva,3,0
03/08/2020,Jaén,0,0
03/08/2020,Málaga,12,1
03/08/2020,Sevilla,5,1
04/08/2020,Almería,36,8
04/08/2020,Cádiz,8,2
04/08/2020,Córdoba,10,1
04/08/2020,Granada,13,1
04/08/2020,Huelva,3,0
04/08/2020,Jaén,1,0
04/08/2020,Málaga,14,1
04/08/2020,Sevilla,5,1
05/08/2020,Almería,40,10
05/08/2020,Cádiz,10,2
05/08/2020,Córdoba,10,1
05/08/2020,Granada,11,1
05/08/2020,Huelva,3,0
05/08/2020,Jaén,4,0
05/08/2020,Málaga,13,1
05/08/2020,Sevilla,6,1
06/08/2020,Almería,42,10
06/08/2020,Cádiz,10,2
06/08/2020,Córdoba,10,1
06/08/2020,Granada,12,1
06/08/2020,Huelva,3,1
06/08/2020,Jaén,3,0
06/08/2020,Málaga,15,1
06/08/2020,Sevilla,5,1
07/08/2020,Almería,46,9
07/08/2020,Cádiz,9,2
07/08/2020,Córdoba,9,1
07/08/2020,Granada,10,1
07/08/2020,Huelva,3,1
07/08/2020,Jaén,5,0
07/08/2020,Málaga,16,2
07/08/2020,Sevilla,7,0
08/08/2020,Almería,48,10
08/08/2020,Cádiz,10,2
08/08/2020,Córdoba,10,1
08/08/2020,Granada,8,1
08/08/2020,Huelva,3,1
08/08/2020,Jaén,5,0
08/08/2020,Málaga,15,2
08/08/2020,Sevilla,7,0
09/08/2020,Almería,48,11
09/08/2020,Cádiz,11,4
09/08/2020,Córdoba,10,1
09/08/2020,Granada,8,1
09/08/2020,Huelva,3,1
09/08/2020,Jaén,4,0
09/08/2020,Málaga,18,2
09/08/2020,Sevilla,8,0
10/08/2020,Almería,51,12
10/08/2020,Cádiz,11,4
10/08/2020,Córdoba,11,2
10/08/2020,Granada,10,1
